Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
"1 Hectare Commercial Lot on Naguillan Road, 20 mins drive to Baguio City",Sablan,Land,"Land,commercial-lot",10000,None,None,None,None,120.514961,16.5020711,None,27000000,https://www.lamudi.com.ph/1-hectare-commercial-lot-on-naguillan-road-20-mins-166080484832.html
"House and Lot for Sale at Rancho, Concepcion Dos, Marikina City","Concepcion Dos, Marikina",House,"House,single-family-house",264,360,None,5,4,121.119734,14.640389,None,16500000,https://www.lamudi.com.ph/house-and-lot-for-sale-at-rancho-166080398133.html
FOR SALE:  Gas Station with existing building,"Looc, Lapu-Lapu",Commercial,"Commercial,retail",1000,0,None,None,None,123.942064,10.300215,None,50000000,https://www.lamudi.com.ph/for-sale-gas-station-with-existing-building-166080273364.html
"RSO - FOR SALE: Condominium in One Rockwell West, Rockwell, Makati","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,93,1,2,2,121.036339,14.562949,One Rockwell,24000000,https://www.lamudi.com.ph/rso-for-sale-condominium-in-one-rockwell-west-rock-166080271146.html
"House and Lot 5 Bedrooms for Sale in Urduja Village, Caloocan City","Camarin, Caloocan",House,"House,single-family-house",240,320,2,5,4,121.03773,14.74393,None,10000000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-urduja-village-caloocan-166080224086.html
"SJDM, Bulacan near Grotto Residential Lot","Gaya-Gaya, San Jose del Monte",Land,"Land,residential-lot",6534,None,None,None,None,121.0356795,14.7913736,None,33000000,https://www.lamudi.com.ph/sjdm-bulacan-near-grotto-residential-lot-166079983320.html
"3 Bedroom Bungalow House (Assume Balance) for Sale in Molino, Bacoor, Cavite","Molino III, Bacoor",House,"House,single-family-house",200,200,1,3,2,120.9777822,14.3981207,None,7310000,https://www.lamudi.com.ph/3-bedroom-bungalow-house-assume-balance-for-sale-i-166079870024.html
Island park phase 2-a | Residential lot for sale in Dasmarinas,"Paliparan II, Dasmarinas",Land,"Land,residential-lot",270,None,None,None,None,120.99031,14.30488,None,15000000,https://www.lamudi.com.ph/island-park-phase-2-a-166079528247.html
"White Sand Beach Lot Property for Sale in Calatagan, Batangas","Santa Ana, Calatagan",Land,"Land,beach-lot",400,0,None,None,None,120.654309,13.79875,None,17000000,https://www.lamudi.com.ph/best-beach-lot-in-calatagan-batangas-166079351261.html
350sqm House and lot with 3BR in Enclave Alabang is up for sale!,"Almanza Dos, Las Pinas",House,"House,single-family-house",350,391,None,3,5.5,121.0078767,14.4023926,None,55000000,https://www.lamudi.com.ph/350sqm-house-and-lot-with-3br-in-enclave-alabang-i-16607909482.html
Lowest Price in the Market! House and Lot in Enclave Alabang is for Sale!,"Almanza Dos, Las Pinas",House,"House,single-family-house",350,391,2,3,5.5,121.0078767,14.4023926,None,55000000,https://www.lamudi.com.ph/lowest-price-in-the-market-house-and-lot-in-enclav-166078992670.html
"ENCLAVE ALABANG HOUSE FOR SALE, Good deal Sacrifice Sale Daanghari House Alabang","Alabang, Muntinlupa",House,"House,single-family-house",467,414,None,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/enclave-alabang-house-for-sale-good-deal-sacrifice-166078678356.html
"Sacrifice Sale, ALABANG HOUSE FOR SALE Enclave Alabang Daang Hari near MCX Exit","Alabang, Muntinlupa",House,"House,single-family-house",467,414,None,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/sacrifice-sale-alabang-house-for-sale-enclave-alab-166078675687.html
"(Phase 3) Residential Lot for Sale at Colinas Verde in San del Monte, Bulacan","Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150,None,None,None,None,121.0961887,14.7844513,None,3525000,https://www.lamudi.com.ph/phase-3-residential-lot-for-sale-at-colinas-verde-166078657489.html
"(Phase 3A) Residential Lot for Sale at Colinas Verde in San del Monte, Bulacan","Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150,None,None,None,None,121.0961887,14.7844513,None,3525000,https://www.lamudi.com.ph/phase-3a-residential-lot-for-sale-at-colinas-verd-166078648949.html
"(Phase 3B) Residential Lot for Sale at Colinas Verde in San del Monte, Bulacan","Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150,None,None,None,None,121.0961887,14.7844513,None,3525000,https://www.lamudi.com.ph/phase-3b-residential-lot-for-sale-at-colinas-verd-166078637246.html
"The Enclave Alabang, 3BR House on 467sqm lot in Las Pinas City for sale!","Almanza Dos, Las Pinas",House,"House,single-family-house",467,414,None,3,5,121.0078767,14.4023926,None,65000000,https://www.lamudi.com.ph/the-enclave-alabang-3br-on-467sqm-lot-in-las-pi-as-166078631610.html
"(Phase 2) Residential Lot for Sale at Colinas Verdes in San del Monte, Bulacan","Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",240,None,None,None,None,121.0961887,14.7844513,None,5640000,https://www.lamudi.com.ph/phase-2-residential-lot-for-sale-at-colinas-verde-166078629583.html
"(Phase 1) Residential Lot at Colinas Verdes in San del Monte, Bulacan","Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150,None,None,None,None,121.0961887,14.7844513,None,3525000,https://www.lamudi.com.ph/phase-1-residential-lot-at-colinas-verdes-in-san-166078618968.html
Good Buy! The Enclave Alabang House for Sale along Daang Hari near Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/good-buy-the-enclave-alabang-house-for-sale-along-166078519259.html
Alabang House and Lot for Sale ENCLAVE HOUSE near Muntinlupa and Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/alabang-house-and-lot-for-sale-enclave-house-near-16607851862.html
"Galleria Residences Studio - Starts at 9,000+/month Preselling Condo","North Reclamation Area, Cebu",Condominium,"Condominium,studio",None,37,None,1,1,123.9157609,10.3084189,Galleria Residences,8468400,https://www.lamudi.com.ph/galleria-residences-studio-starts-at-9-000-month-p-166074684351.html
"Rent to Own 3 Bedroom Condo Unit for Sale in St. Moritz Private Estate, Taguig","McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,113.5,None,3,4,121.050318,14.540867,St. Moritz Private Estate,30600000,https://www.lamudi.com.ph/rent-to-own-3-bedroom-condo-unit-for-sale-in-st-mo-166073016640.html
"Northview 1, Batasan - San Mateo Road, QC LOT with old house for SALE","Batasan Hills, Quezon City",Land,"Land,residential-lot",360,None,None,None,None,121.096563,14.681641,None,11000000,https://www.lamudi.com.ph/northview-1-batasan-san-mateo-road-qc-lot-with-old-16607293965.html
Jardin de Memoria Outer Lawn Lot (A Memorial Park for sale in Alfonso),"Taywanak Ilaya, Alfonso",Land,"Land,memorial-lot",2.5,None,None,None,None,120.8501436,14.14474956,None,179200,https://www.lamudi.com.ph/jardin-de-memoria-outer-lawn-lot-a-memorial-park-i-166072939240.html
"Jardin de Memoria Lawn Lot Inner For Sale in Alfonso, Cavite","Barangay IV, Alfonso",Land,"Land,memorial-lot",2.5,None,None,None,None,120.85293,14.137115,None,145600,https://www.lamudi.com.ph/jardin-de-memoria-lawn-lot-inner-166072721813.html
"Jardin De Memoria (Memorial Park) - Inner Lawn Lot for sale, Alfonso, Cavite","Barangay IV, Alfonso",Land,"Land,memorial-lot",2.5,None,None,None,None,120.85293,14.137115,None,145600,https://www.lamudi.com.ph/jardin-de-memoria-memorial-park-inner-lawn-lot-alf-16607267075.html
Alcoves 1BR Condominium unit for Sale 65 sqm in Cebu City,"Mabolo, Cebu",Condominium,"Condominium,single-bedroom",None,65,1,1,1,123.918231,10.31581,The Alcoves,15500000,https://www.lamudi.com.ph/alcoves-1br-unit-for-sale-65-sqm-16607261246.html
Good Investment Commercial Property in Quezon Avenue for Sale,"Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/good-investment-commercial-property-in-quezon-aven-166071952629.html
"Tropical Modern Home for Sale in The Enclave Alabang, Las Pinas City","Almanza Dos, Las Pinas",House,"House,single-family-house",467,414,None,3,5,121.0078767,14.4023926,None,65000000,https://www.lamudi.com.ph/tropical-modern-home-for-sale-in-the-enclave-alaba-166071899429.html
"1,660 sam Farm Lot for Sale in Calabnugan, Sibulan, Negros Oriental","Calabnugan, Sibulan",Land,"Land,agricutural-lot",1660,None,None,None,None,123.261786,9.3420884,None,9000000,https://www.lamudi.com.ph/1-660-sam-farm-lot-for-sale-in-calabnugan-sibulan-166071698568.html
Villas for sale in Philippines,Sinacaban,House,"House,villas",None,None,None,None,None,123.8228346,8.3008627,None,1,https://www.lamudi.com.ph/villas-for-sale-in-philippines-16607156546.html
